"relationship_id","account_id","relationship_type","share_percentage","nominee_name","nominee_dob","guardian_name","guardian_dob"
"REL00000104","ACC00000120","SPOUSE","100","Pooja Joshi","1962-07-19","Aryan Verma",""
"REL00000105","ACC00000121","PARENT","100","Asha Vasa","2010-04-11","",""
"REL00000106","ACC00000122","SPOUSE","100","Tushar Joshi","1971-03-16","","1959-05-23"
"REL00000107","ACC00000123","NOMINEE","100","Tushar Verma","2012-12-12","Kavya Patel","1972-08-17"
"REL00000108","ACC00000124","PARENT","100","Rajesh Verma","1983-03-23","Nisha Sharma","1965-03-03"
"REL00000109","ACC00000125","SPOUSE","100","Pooja Verma","1953-12-12","Tushar Singh","1977-05-18"
"REL00000110","ACC00000126","SPOUSE","100","Kavya Wadhwa","1967-09-03","Tushar Wadhwa",""
"REL00000111","ACC00000127","PARENT","100","Aryan Vasa","1998-01-08","","1982-04-18"
"REL00000112","ACC00000128","PARENT","100","Aryan Singh","1993-09-11","Nisha Kumar",""
"REL00000113","ACC00000129","CHILD","100","Vikram Singh","1966-06-06","Aryan Patel",""
"REL00000114","ACC00000130","SPOUSE","100","Vikram Joshi","1957-04-21","",""
"REL00000115","ACC00000131","NOMINEE","100","Asha Patel","1986-02-02","Kavya Vasa","1968-12-02"
"REL00000116","ACC00000132","NOMINEE","100","Tushar Singh","1974-02-19","","1976-12-07"
"REL00000117","ACC00000135","CHILD","100","Kavya Joshi","1980-07-04","Vikram Wadhwa","1973-02-03"
"REL00000118","ACC00000136","CHILD","100","Rajesh Wadhwa","1957-07-09","Rajesh Joshi","1973-03-22"
"REL00000119","ACC00000137","NOMINEE","100","Asha Vasa","1984-03-06","Nisha Sharma",""
"REL00000120","ACC00000138","NOMINEE","100","Tushar Vasa","1980-01-29","Aryan Sharma","1973-03-29"
"REL00000121","ACC00000139","SPOUSE","100","Vikram Patel","1991-08-24","Pooja Joshi",""
"REL00000122","ACC00000140","CHILD","100","Aryan Vasa","2006-11-25","Pooja Singh","1973-11-23"
"REL00000123","ACC00000141","SPOUSE","100","Aryan Verma","1982-08-15","Kavya Verma","1961-12-04"
"REL00000124","ACC00000144","CHILD","100","Nisha Sharma","1996-09-05","Kavya Singh","1986-02-24"
"REL00000125","ACC00000145","CHILD","100","Tushar Joshi","2008-02-09","",""
"REL00000126","ACC00000146","SPOUSE","100","Vikram Kumar","1964-12-24","",""
"REL00000127","ACC00000147","SPOUSE","100","Rajesh Sharma","1992-08-22","",""
"REL00000128","ACC00000149","NOMINEE","100","Kavya Verma","1955-10-27","","1974-05-14"
"REL00000129","ACC00000150","SPOUSE","100","Pooja Patel","1964-11-28","","1974-06-13"
"REL00000130","ACC00000151","PARENT","100","Kavya Sharma","2011-08-05","","1977-06-25"
"REL00000131","ACC00000152","NOMINEE","100","Vikram Sharma","2000-10-08","Kavya Kumar",""
"REL00000132","ACC00000153","CHILD","100","Asha Singh","2007-05-31","",""
"REL00000133","ACC00000154","SPOUSE","100","Vikram Patel","1961-06-13","",""
"REL00000134","ACC00000155","PARENT","100","Pooja Verma","1983-01-19","",""
"REL00000135","ACC00000157","CHILD","100","Rajesh Patel","1995-12-12","Rajesh Joshi","1964-02-18"
"REL00000136","ACC00000158","NOMINEE","100","Asha Patel","2003-01-13","",""
"REL00000137","ACC00000159","CHILD","100","Vikram Singh","1959-11-15","","1964-02-22"
"REL00000138","ACC00000160","SPOUSE","100","Kavya Kumar","2012-03-03","Vikram Vasa",""
"REL00000139","ACC00000161","CHILD","100","Pooja Sharma","1986-06-05","",""
"REL00000140","ACC00000163","SPOUSE","100","Pooja Sharma","1962-02-14","",""
"REL00000141","ACC00000164","CHILD","100","Vikram Joshi","1976-05-09","Aryan Patel","1979-05-16"
"REL00000142","ACC00000165","NOMINEE","100","Tushar Joshi","1965-03-02","",""
"REL00000143","ACC00000166","CHILD","100","Nisha Singh","1957-11-13","Aryan Verma",""
"REL00000144","ACC00000167","SPOUSE","100","Pooja Vasa","1999-12-15","","1990-11-09"
"REL00000145","ACC00000168","PARENT","100","Kavya Wadhwa","2007-11-17","Tushar Vasa",""
"REL00000146","ACC00000169","PARENT","100","Pooja Kumar","2002-07-09","",""
"REL00000147","ACC00000170","SPOUSE","100","Kavya Wadhwa","1960-03-31","Aryan Verma",""
"REL00000148","ACC00000171","PARENT","100","Asha Joshi","1967-12-15","Vikram Patel","1971-11-10"
"REL00000149","ACC00000172","CHILD","100","Vikram Kumar","1959-01-28","Vikram Singh","1955-09-11"
"REL00000150","ACC00000173","NOMINEE","100","Kavya Joshi","1993-02-21","",""
"REL00000151","ACC00000174","PARENT","100","Pooja Wadhwa","2015-09-15","Pooja Kumar","1974-05-26"
"REL00000152","ACC00000175","PARENT","100","Nisha Patel","1967-04-09","",""
"REL00000153","ACC00000176","PARENT","100","Rajesh Singh","1958-07-01","",""
"REL00000154","ACC00000177","CHILD","100","Pooja Singh","1970-02-07","","1955-08-25"
"REL00000155","ACC00000178","NOMINEE","100","Vikram Verma","2000-02-01","",""
"REL00000156","ACC00000179","SPOUSE","100","Kavya Wadhwa","1999-08-09","",""
