"contact_id","cif","mobile_number","email_id","alternate_mobile","landline_number","is_primary","verified_flag","created_at","updated_at"
"CONT00000028","CIF00000028","6033015788","user4349@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000029","CIF00000029","7294586283","user4460@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000030","CIF00000030","9295741120","user3248@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000031","CIF00000031","9282046063","user5186@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000032","CIF00000032","7243165953","user6375@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000033","CIF00000033","6515328854","user1126@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000034","CIF00000034","8136253713","user8055@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000035","CIF00000035","6754603440","user3116@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000036","CIF00000036","7632978535","user9725@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000037","CIF00000037","9022245086","user4770@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000038","CIF00000038","8148610411","user6802@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000039","CIF00000039","6309561891","user7505@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000040","CIF00000040","9701249758","user1693@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000041","CIF00000041","7873548915","user1307@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000042","CIF00000042","7974629461","user2275@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000043","CIF00000043","9702734323","user6129@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000044","CIF00000044","8472866768","user8033@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000045","CIF00000045","8462732890","user7626@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000046","CIF00000046","9047274825","user7843@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000047","CIF00000047","7243458354","user2887@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000048","CIF00000048","7739600515","user1341@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000049","CIF00000049","7394868732","user3815@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000050","CIF00000050","9441652418","user8538@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000051","CIF00000051","9573524070","user6928@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000052","CIF00000052","6378514962","user8155@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000053","CIF00000053","9627032705","user2734@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000054","CIF00000054","7045036297","user8138@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000055","CIF00000055","8529182928","user7560@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000056","CIF00000056","8250402001","user2288@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000057","CIF00000057","7699805002","user6083@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000058","CIF00000058","9203207350","user6562@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000059","CIF00000059","6951644750","user6456@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000060","CIF00000060","9346285771","user3754@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000061","CIF00000061","6328046924","user9363@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000062","CIF00000062","8719679239","user2868@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000063","CIF00000063","8278930366","user9355@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000064","CIF00000064","6832810061","user6724@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000065","CIF00000065","7507961865","user3419@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000066","CIF00000066","7014766981","user2684@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000067","CIF00000067","6628973138","user5193@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000068","CIF00000068","6847275937","user3842@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000069","CIF00000069","8587283948","user3504@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000070","CIF00000070","9265099819","user2234@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000071","CIF00000071","6760836806","user9095@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000072","CIF00000072","7992663260","user8354@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000073","CIF00000073","8925445989","user6295@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000074","CIF00000074","9711912062","user6179@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000075","CIF00000075","6648357091","user8205@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000076","CIF00000076","6293287259","user8682@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000077","CIF00000077","7899269162","user5961@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000078","CIF00000078","9420209944","user5500@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000079","CIF00000079","8540128512","user1920@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000080","CIF00000080","7511580323","user9312@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000081","CIF00000081","6318646463","user6085@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000082","CIF00000082","7983168873","user8404@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000083","CIF00000083","6161521910","user1932@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000084","CIF00000084","7583715924","user5703@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000085","CIF00000085","6329557138","user2479@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000086","CIF00000086","8641440900","user9307@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000087","CIF00000087","7651339677","user8581@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000088","CIF00000088","8492495810","user1672@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000089","CIF00000089","7931591531","user4084@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000090","CIF00000090","7380946943","user8792@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000091","CIF00000091","8153356179","user3471@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000092","CIF00000092","6265745534","user8381@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000093","CIF00000093","6444537179","user6626@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000094","CIF00000094","9067961943","user2381@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000095","CIF00000095","8167021467","user3827@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000096","CIF00000096","6168114160","user5059@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000097","CIF00000097","9039212077","user8172@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000098","CIF00000098","7887302225","user9586@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000099","CIF00000099","8245185702","user3600@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CONT00000100","CIF00000100","7562929828","user7108@mail.com","","","Y","Y","2026-06-11 06:21:59","2026-06-11 06:21:59"
