"cif","customer_type","first_name","middle_name","last_name","date_of_birth","gender","marital_status","nationality","occupation_code","segment_code","customer_status","customer_since_date","branch_code","created_at","updated_at"
"CIF00000017","INDIVIDUAL","Ananya","","Nair","1979-09-07","GEN_M","MS_MARRIED","NAT_US","OCC_SAL","SEG_PEP","CUST_ACTIVE","2023-08-27","BR003","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000018","INDIVIDUAL","Ravi","","Verma","2006-05-29","GEN_M","MS_SINGLE","NAT_US","OCC_BUS","SEG_REG","CUST_ACTIVE","2023-10-07","BR001","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000019","INDIVIDUAL","Dhruv","","Sood","1984-11-06","GEN_O","MS_UNDISC","NAT_IND","OCC_HOME","SEG_REG","CUST_ACTIVE","2023-11-09","BR001","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000020","INDIVIDUAL","Aarav","","Gupta","1963-10-26","GEN_O","MS_UNDISC","NAT_IND","OCC_HOME","SEG_PEP","CUST_ACTIVE","2023-11-27","BR003","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000021","INDIVIDUAL","Arjun","","Patel","1988-05-30","GEN_O","MS_DIV","NAT_US","OCC_HOME","SEG_HNI","CUST_ACTIVE","2023-06-12","BR001","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000022","INDIVIDUAL","Dhruv","","Sharma","1984-03-20","GEN_M","MS_MARRIED","NAT_IND","OCC_SAL","SEG_REG","CUST_ACTIVE","2024-10-24","BR003","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000023","INDIVIDUAL","Dhruv","","Kulkarni","2001-03-05","GEN_M","MS_DIV","NAT_IND","OCC_HOME","SEG_REG","CUST_ACTIVE","2024-10-20","BR002","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000024","INDIVIDUAL","Ananya","","Kumar","1962-11-28","GEN_O","MS_UNDISC","NAT_IND","OCC_BUS","SEG_HNI","CUST_ACTIVE","2024-11-04","BR001","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000025","INDIVIDUAL","Neha","","Patel","1997-12-30","GEN_F","MS_UNDISC","NAT_US","OCC_BUS","SEG_PEP","CUST_ACTIVE","2025-03-04","BR001","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000026","INDIVIDUAL","Amit","","Vasa","1997-08-18","GEN_F","MS_SINGLE","NAT_IND","OCC_SAL","SEG_REG","CUST_ACTIVE","2025-04-10","BR003","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000027","INDIVIDUAL","Amit","","Kumar","1966-03-18","GEN_F","MS_UNDISC","NAT_IND","OCC_SAL","SEG_HNI","CUST_ACTIVE","2025-01-19","BR003","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000028","INDIVIDUAL","Neha","","Iyer","1997-09-03","GEN_M","MS_SINGLE","NAT_IND","OCC_SAL","SEG_HNI","CUST_ACTIVE","2025-04-21","BR002","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000029","INDIVIDUAL","Kavya","","Patel","1963-04-10","GEN_M","MS_MARRIED","NAT_US","OCC_SAL","SEG_HNI","CUST_ACTIVE","2024-11-05","BR002","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000030","INDIVIDUAL","Amit","","Vasa","1965-08-21","GEN_O","MS_UNDISC","NAT_IND","OCC_SAL","SEG_HNI","CUST_ACTIVE","2024-08-23","BR001","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000031","INDIVIDUAL","Sarika","","Iyer","2001-03-18","GEN_M","MS_DIV","NAT_IND","OCC_SAL","SEG_PEP","CUST_ACTIVE","2023-10-27","BR002","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000032","INDIVIDUAL","Aarav","","Jani","1961-05-06","GEN_O","MS_SINGLE","NAT_IND","OCC_SAL","SEG_PEP","CUST_ACTIVE","2023-12-16","BR001","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000033","INDIVIDUAL","Dhruv","","Kulkarni","1985-05-10","GEN_O","MS_MARRIED","NAT_IND","OCC_HOME","SEG_REG","CUST_ACTIVE","2024-04-24","BR002","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000034","INDIVIDUAL","Ananya","","Sharma","1954-02-04","GEN_F","MS_MARRIED","NAT_US","OCC_SAL","SEG_HNI","CUST_ACTIVE","2023-11-11","BR002","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000035","INDIVIDUAL","Neha","","Gupta","1994-09-19","GEN_F","MS_DIV","NAT_IND","OCC_SAL","SEG_HNI","CUST_ACTIVE","2023-07-25","BR003","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000036","INDIVIDUAL","Dhruv","","Iyer","1955-12-13","GEN_M","MS_DIV","NAT_IND","OCC_BUS","SEG_REG","CUST_ACTIVE","2025-03-01","BR001","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000037","INDIVIDUAL","Aarav","","Verma","1973-04-22","GEN_O","MS_DIV","NAT_IND","OCC_HOME","SEG_PEP","CUST_ACTIVE","2024-08-24","BR002","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000038","INDIVIDUAL","Arjun","","Sood","1997-03-01","GEN_M","MS_MARRIED","NAT_US","OCC_BUS","SEG_PEP","CUST_ACTIVE","2025-01-25","BR001","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000039","INDIVIDUAL","Neha","","Wadhwa","1975-09-12","GEN_F","MS_UNDISC","NAT_US","OCC_SAL","SEG_REG","CUST_ACTIVE","2024-11-15","BR003","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000040","INDIVIDUAL","Manikya","","Jani","1968-06-16","GEN_F","MS_MARRIED","NAT_US","OCC_SAL","SEG_PEP","CUST_ACTIVE","2024-09-01","BR002","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000041","INDIVIDUAL","Amit","","Iyer","1956-12-18","GEN_M","MS_SINGLE","NAT_IND","OCC_HOME","SEG_REG","CUST_ACTIVE","2023-06-20","BR003","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000042","INDIVIDUAL","Priya","","Iyer","2003-03-24","GEN_M","MS_UNDISC","NAT_IND","OCC_SAL","SEG_HNI","CUST_ACTIVE","2024-05-29","BR002","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000043","INDIVIDUAL","Vivaan","","Wadhwa","2002-11-17","GEN_M","MS_SINGLE","NAT_US","OCC_HOME","SEG_HNI","CUST_ACTIVE","2024-06-10","BR003","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000044","INDIVIDUAL","Kavya","","Kumar","1992-08-04","GEN_M","MS_UNDISC","NAT_IND","OCC_SAL","SEG_PEP","CUST_ACTIVE","2024-10-12","BR002","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000045","INDIVIDUAL","Kavya","","Vasa","1969-07-09","GEN_M","MS_DIV","NAT_IND","OCC_HOME","SEG_REG","CUST_ACTIVE","2023-07-27","BR002","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000046","INDIVIDUAL","Vivaan","","Singh","2002-12-26","GEN_F","MS_DIV","NAT_US","OCC_SAL","SEG_REG","CUST_ACTIVE","2024-02-16","BR001","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000047","INDIVIDUAL","Ravi","","Gupta","1989-02-17","GEN_M","MS_DIV","NAT_US","OCC_HOME","SEG_PEP","CUST_ACTIVE","2024-04-29","BR002","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000048","INDIVIDUAL","Manikya","","Sood","1958-05-09","GEN_F","MS_MARRIED","NAT_US","OCC_SAL","SEG_REG","CUST_ACTIVE","2024-07-07","BR003","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000049","INDIVIDUAL","Sarika","","Reddy","1967-06-22","GEN_F","MS_UNDISC","NAT_IND","OCC_BUS","SEG_PEP","CUST_ACTIVE","2024-06-23","BR001","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000050","INDIVIDUAL","Sarika","","Patel","1983-08-10","GEN_M","MS_MARRIED","NAT_US","OCC_BUS","SEG_REG","CUST_ACTIVE","2025-04-27","BR003","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000051","INDIVIDUAL","Ravi","","Wadhwa","1976-11-01","GEN_M","MS_DIV","NAT_US","OCC_HOME","SEG_HNI","CUST_ACTIVE","2023-09-12","BR002","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000052","INDIVIDUAL","Arjun","","Iyer","1970-05-11","GEN_M","MS_MARRIED","NAT_US","OCC_HOME","SEG_HNI","CUST_ACTIVE","2023-06-29","BR003","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000053","INDIVIDUAL","Priya","","Gupta","1990-11-05","GEN_F","MS_SINGLE","NAT_US","OCC_BUS","SEG_REG","CUST_ACTIVE","2023-09-20","BR002","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000054","INDIVIDUAL","Neha","","Sharma","1954-06-05","GEN_F","MS_UNDISC","NAT_US","OCC_HOME","SEG_REG","CUST_ACTIVE","2023-09-29","BR003","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000055","INDIVIDUAL","Neha","","Sood","1964-01-03","GEN_F","MS_DIV","NAT_IND","OCC_SAL","SEG_PEP","CUST_ACTIVE","2024-12-20","BR002","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000056","INDIVIDUAL","Aarav","","Jani","1986-04-21","GEN_M","MS_MARRIED","NAT_US","OCC_HOME","SEG_REG","CUST_ACTIVE","2024-11-20","BR002","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000057","INDIVIDUAL","Priya","","Singh","1969-04-11","GEN_O","MS_UNDISC","NAT_US","OCC_BUS","SEG_REG","CUST_ACTIVE","2023-09-06","BR001","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000058","INDIVIDUAL","Pooja","","Patel","2005-12-17","GEN_M","MS_MARRIED","NAT_US","OCC_SAL","SEG_PEP","CUST_ACTIVE","2025-02-22","BR001","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000059","INDIVIDUAL","Aarav","","Reddy","1995-07-28","GEN_F","MS_DIV","NAT_US","OCC_HOME","SEG_PEP","CUST_ACTIVE","2024-03-01","BR003","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000060","INDIVIDUAL","Rahul","","Kulkarni","1968-03-04","GEN_M","MS_UNDISC","NAT_US","OCC_BUS","SEG_REG","CUST_ACTIVE","2023-11-28","BR003","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000061","INDIVIDUAL","Rahul","","Wadhwa","1981-07-31","GEN_M","MS_DIV","NAT_US","OCC_SAL","SEG_PEP","CUST_ACTIVE","2023-12-26","BR002","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000062","INDIVIDUAL","Ravi","","Sharma","1985-06-03","GEN_O","MS_SINGLE","NAT_IND","OCC_SAL","SEG_REG","CUST_ACTIVE","2024-09-06","BR002","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000063","INDIVIDUAL","Vivaan","","Sood","1992-09-30","GEN_F","MS_UNDISC","NAT_US","OCC_HOME","SEG_HNI","CUST_ACTIVE","2023-06-19","BR002","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000064","INDIVIDUAL","Kavya","","Patel","2000-11-14","GEN_F","MS_SINGLE","NAT_US","OCC_BUS","SEG_REG","CUST_ACTIVE","2024-11-12","BR002","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000065","INDIVIDUAL","Kavya","","Kulkarni","1979-09-02","GEN_F","MS_MARRIED","NAT_US","OCC_SAL","SEG_HNI","CUST_ACTIVE","2024-05-08","BR002","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000066","INDIVIDUAL","Amit","","Sharma","1962-11-21","GEN_O","MS_UNDISC","NAT_IND","OCC_BUS","SEG_REG","CUST_ACTIVE","2025-05-13","BR003","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000067","INDIVIDUAL","Nisha","","Patel","1958-07-16","GEN_O","MS_SINGLE","NAT_IND","OCC_HOME","SEG_HNI","CUST_ACTIVE","2025-05-15","BR001","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000068","INDIVIDUAL","Manikya","","Gupta","1965-01-14","GEN_F","MS_DIV","NAT_IND","OCC_BUS","SEG_HNI","CUST_ACTIVE","2024-12-07","BR002","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000069","INDIVIDUAL","Pooja","","Desai","1972-06-11","GEN_F","MS_DIV","NAT_IND","OCC_BUS","SEG_REG","CUST_ACTIVE","2024-08-31","BR003","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000070","INDIVIDUAL","Ravi","","Singh","1958-01-24","GEN_O","MS_SINGLE","NAT_IND","OCC_SAL","SEG_REG","CUST_ACTIVE","2025-04-19","BR001","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000071","INDIVIDUAL","Aarav","","Singh","2004-08-18","GEN_M","MS_UNDISC","NAT_IND","OCC_HOME","SEG_REG","CUST_ACTIVE","2023-09-14","BR002","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000072","INDIVIDUAL","Aarav","","Nair","1983-06-21","GEN_O","MS_SINGLE","NAT_IND","OCC_BUS","SEG_REG","CUST_ACTIVE","2024-05-30","BR003","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000073","INDIVIDUAL","Priya","","Wadhwa","2004-02-26","GEN_F","MS_UNDISC","NAT_IND","OCC_SAL","SEG_PEP","CUST_ACTIVE","2024-07-27","BR003","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000074","INDIVIDUAL","Sarika","","Reddy","1984-09-02","GEN_F","MS_SINGLE","NAT_IND","OCC_BUS","SEG_PEP","CUST_ACTIVE","2025-02-27","BR002","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000075","INDIVIDUAL","Ananya","","Wadhwa","1973-03-19","GEN_F","MS_SINGLE","NAT_US","OCC_BUS","SEG_REG","CUST_ACTIVE","2025-04-02","BR002","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000076","INDIVIDUAL","Nisha","","Desai","1973-12-18","GEN_F","MS_MARRIED","NAT_US","OCC_SAL","SEG_PEP","CUST_ACTIVE","2023-08-31","BR003","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000077","INDIVIDUAL","Pooja","","Kulkarni","1982-03-24","GEN_O","MS_UNDISC","NAT_US","OCC_BUS","SEG_PEP","CUST_ACTIVE","2023-09-20","BR003","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000078","INDIVIDUAL","Kavya","","Singh","1982-05-19","GEN_M","MS_DIV","NAT_US","OCC_SAL","SEG_HNI","CUST_ACTIVE","2024-07-16","BR003","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000079","INDIVIDUAL","Manikya","","Verma","1972-06-16","GEN_F","MS_MARRIED","NAT_US","OCC_SAL","SEG_HNI","CUST_ACTIVE","2024-07-02","BR002","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000080","INDIVIDUAL","Nisha","","Nair","1975-12-04","GEN_O","MS_DIV","NAT_IND","OCC_HOME","SEG_REG","CUST_ACTIVE","2024-08-29","BR001","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000081","INDIVIDUAL","Rahul","","Iyer","1984-10-21","GEN_M","MS_UNDISC","NAT_US","OCC_BUS","SEG_REG","CUST_ACTIVE","2024-04-21","BR001","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000082","INDIVIDUAL","Amit","","Vasa","1980-01-23","GEN_M","MS_DIV","NAT_US","OCC_BUS","SEG_PEP","CUST_ACTIVE","2024-10-28","BR003","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000083","INDIVIDUAL","Sarika","","Iyer","1975-08-14","GEN_F","MS_DIV","NAT_US","OCC_BUS","SEG_HNI","CUST_ACTIVE","2024-04-02","BR002","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000084","INDIVIDUAL","Sarika","","Singh","1985-10-10","GEN_F","MS_SINGLE","NAT_IND","OCC_SAL","SEG_REG","CUST_ACTIVE","2025-02-08","BR003","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000085","INDIVIDUAL","Sarika","","Nair","1963-01-07","GEN_O","MS_DIV","NAT_IND","OCC_SAL","SEG_HNI","CUST_ACTIVE","2024-09-01","BR001","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000086","INDIVIDUAL","Arjun","","Jani","1974-01-30","GEN_O","MS_MARRIED","NAT_US","OCC_SAL","SEG_REG","CUST_ACTIVE","2024-12-10","BR003","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000087","INDIVIDUAL","Aarav","","Wadhwa","1980-04-01","GEN_F","MS_SINGLE","NAT_IND","OCC_HOME","SEG_HNI","CUST_ACTIVE","2023-06-28","BR002","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000088","INDIVIDUAL","Ravi","","Kumar","1963-07-06","GEN_M","MS_DIV","NAT_US","OCC_SAL","SEG_REG","CUST_ACTIVE","2024-03-17","BR002","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000089","INDIVIDUAL","Priya","","Wadhwa","1962-05-05","GEN_O","MS_SINGLE","NAT_IND","OCC_SAL","SEG_PEP","CUST_ACTIVE","2025-03-28","BR002","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000090","INDIVIDUAL","Dhruv","","Iyer","1998-10-25","GEN_F","MS_MARRIED","NAT_US","OCC_BUS","SEG_HNI","CUST_ACTIVE","2024-09-30","BR002","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000091","INDIVIDUAL","Arjun","","Nair","1953-08-29","GEN_O","MS_SINGLE","NAT_IND","OCC_SAL","SEG_PEP","CUST_ACTIVE","2024-03-29","BR001","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000092","INDIVIDUAL","Dhruv","","Kumar","1982-09-19","GEN_M","MS_MARRIED","NAT_IND","OCC_SAL","SEG_REG","CUST_ACTIVE","2023-08-05","BR002","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000093","INDIVIDUAL","Priya","","Verma","1966-01-15","GEN_F","MS_SINGLE","NAT_IND","OCC_BUS","SEG_PEP","CUST_ACTIVE","2023-07-07","BR002","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000094","INDIVIDUAL","Neha","","Singh","1965-09-22","GEN_F","MS_MARRIED","NAT_US","OCC_SAL","SEG_PEP","CUST_ACTIVE","2025-03-31","BR001","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000095","INDIVIDUAL","Kavya","","Kumar","1993-02-02","GEN_M","MS_SINGLE","NAT_IND","OCC_BUS","SEG_PEP","CUST_ACTIVE","2024-09-12","BR003","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000096","INDIVIDUAL","Rahul","","Sood","1955-05-24","GEN_F","MS_DIV","NAT_US","OCC_BUS","SEG_PEP","CUST_ACTIVE","2024-08-20","BR003","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000097","INDIVIDUAL","Dhruv","","Nair","1962-02-27","GEN_M","MS_UNDISC","NAT_US","OCC_HOME","SEG_HNI","CUST_ACTIVE","2024-03-20","BR001","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000098","INDIVIDUAL","Neha","","Desai","1998-04-07","GEN_O","MS_SINGLE","NAT_US","OCC_HOME","SEG_REG","CUST_ACTIVE","2024-10-20","BR001","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000099","INDIVIDUAL","Neha","","Verma","1964-03-31","GEN_F","MS_MARRIED","NAT_US","OCC_HOME","SEG_HNI","CUST_ACTIVE","2023-12-28","BR001","2026-06-11 06:21:59","2026-06-11 06:21:59"
"CIF00000100","INDIVIDUAL","Amit","","Sharma","1964-04-16","GEN_F","MS_SINGLE","NAT_IND","OCC_BUS","SEG_HNI","CUST_ACTIVE","2024-06-20","BR003","2026-06-11 06:21:59","2026-06-11 06:21:59"
